Profile: Function timing, sorted by time
Date:    Sun Jul 28 12:57:49 2002


Programmstatistik
-----------------
    2002 Jul 28 12:30 Befehlszeile: "C:\code\GePhex\bin\engine2"  
    Gesamtzeit: 257620,194 Millisekunden
    Zeit ausserhalb von Funktionen: 102,732 Millisekunden
    Aufruftiefe: 30
    Gesamtfunktionen: 4619
    Gesamtaufrufe: 55996062
    Funktionsabdeckung: 65,3%
    Berechneter Verwaltungsaufwand: 6
    Durchschnittlicher Aufwand: 6

Modulstatistik fuer engine2.exe
-------------------------------
    Zeit innerhalb des Moduls: 257517,462 Millisekunden
    100,0% Prozent im Modul
    4619 Funktionen im Modul
    Aufrufe im Modul: 55996062 
    Modulfunktionsabdeckung: 65,3%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
     534,100   0,2     2330,360   0,9    87420 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::front(void) (runtimesystem.obj)
     532,130   0,2     1835,024   0,7    51775 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Copy(unsigned int) (main.obj)
     531,485   0,2     1652,499   0,6     8196 CType::serialize(void) (c_type.obj)
     514,336   0,2      514,336   0,2   230983 std::basic_streambuf<char,struct std::char_traits<char> >::epptr(void) (main.obj)
     513,427   0,2     3210,512   1,2   104151 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::append(unsigned int,char) (main.obj)
     510,156   0,2    12023,880   4,7    24515 net::NetProtocol::sendCommand(char const * const,class utils::Buffer const &) (netprotocol.obj)
     508,567   0,2      899,622   0,3    43636 std::list<int,class std::allocator<int> >::begin(void) (model.obj)
     500,491   0,2     2216,969   0,9    13543 std::_Tree<struct std::pair<int,int>,struct std::pair<struct std::pair<int,int> const ,class utils::Buffer>,struct std::map<struct std::pair<int,int>,class utils::Buffer,struct std::less<struct std::pair<int,int> >,class std::allocator<class utils::Buffer> >::_Kfn,struct std::less<struct std::pair<int,int> >,class std::allocator<class utils::Buffer> >::insert(struct std::pair<struct std::pair<int,int> const ,class utils::Buffer> const &) (controllvalueset.obj)
     492,077   0,2      599,706   0,2    40828 utils::Buffer::Buffer(int) (buffer.obj)
     485,991   0,2      703,695   0,3   188055 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Eos(unsigned int) (main.obj)
